TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X2hrs,.,15°C - 22°C,-0.3462829507999997,0.27819187613777474,27.0,-1.2447629873580595,0.22391539517069592,Between-Group,Valine,0.9583024215269884,False
X2hrs,.,15°C - 8°C,-0.2139427987999997,0.2781918761377748,27.0,-0.7690476147982277,0.44854061561203196,Between-Group,Valine,0.9748246327115793,False
X2hrs,.,22°C - 8°C,0.13234015200000002,0.2781918761377748,27.0,0.47571537255983143,0.6381036719259248,Between-Group,Valine,0.9979364913093677,False
.,15°C,X10min - X2hrs,0.3533641106999974,0.4565484529579251,27.0,0.7739903802336681,0.44566120584822233,Within-Group,Valine,0.9748246327115793,False
.,22°C,X10min - X2hrs,-1.2236425835000015,0.45654845295792507,27.0,-2.6802031100361017,0.012384795497822225,Within-Group,Valine,0.6290101284366936,False
.,8°C,X10min - X2hrs,-0.35516046620000125,0.4565484529579251,27.0,-0.7779250239464339,0.44337705008568606,Within-Group,Valine,0.9748246327115793,False
X10min,.,15°C - 22°C,0.45677216219999905,1.0855385719238426,27.0,0.42077930164239663,0.677246725076214,Between-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9995801204593276,False
X10min,.,15°C - 8°C,1.2571579610999994,1.0855385719238426,27.0,1.1580960765604162,0.2569666102870666,Between-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9587581238028823,False
X10min,.,22°C - 8°C,0.8003857989000004,1.0855385719238426,27.0,0.7373167749180197,0.4672893225701714,Between-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9785834614580545,False
X2hrs,.,15°C - 22°C,-0.27319925969999986,0.914988496977317,27.0,-0.29858217956020117,0.767544803890635,Between-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9995801204593276,False
X2hrs,.,15°C - 8°C,0.2582738697000003,0.9149884969773171,27.0,0.2822700728514219,0.7798889407637962,Between-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9995801204593276,False
X2hrs,.,22°C - 8°C,0.5314731294000002,0.9149884969773171,27.0,0.5808522524116231,0.5661573964105838,Between-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9979364913093677,False
.,15°C,X10min - X2hrs,1.2565095497999978,0.8911032299621132,27.0,1.4100605940497157,0.16993830243948174,Within-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9330565104917558,False
.,22°C,X10min - X2hrs,0.5265381278999988,0.8911032299621131,27.0,0.5908834242721638,0.5595128850347226,Within-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9979364913093677,False
.,8°C,X10min - X2hrs,0.2576254583999987,0.8911032299621132,27.0,0.28910843293762056,0.7747066829643126,Within-Group,"(R*,R*)-2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)-",0.9995801204593276,False
X10min,.,15°C - 22°C,-1.2806895064999995,1.3470187966173417,27.0,-0.9507584524552222,0.3501608211848034,Between-Group,1-Ethyl-1-tetradecyloxy-1-silacyclohexane,0.9587581238028823,False
